customer_id,location,loyalty_score,signup_date
CUST0001,West,30,2020-08-16
CUST0002,Central,23,2020-02-21
CUST0003,East,16,2021-07-17
CUST0004,Central,14,2021-05-16
CUST0005,Central,74,2021-04-02
CUST0006,South,71,2020-10-12
CUST0007,East,52,2020-07-28
CUST0008,East,37,2023-01-21
CUST0009,East,29,2020-06-27
CUST0010,Central,67,2023-04-24
CUST0011,West,15,2022-05-14
CUST0012,East,100,2020-03-06
CUST0013,Central,47,2020-03-02
CUST0014,South,46,2020-07-10
CUST0015,West,52,2021-03-23
CUST0016,South,19,2021-04-21
CUST0017,West,77,2022-10-31
CUST0018,Central,21,2023-05-17
CUST0019,North,64,2020-02-24
CUST0020,West,37,2023-02-23
CUST0021,South,27,2021-02-11
CUST0022,Central,55,2023-01-21
CUST0023,West,29,2022-05-09
CUST0024,North,20,2021-03-27
CUST0025,North,25,2022-07-08
CUST0026,East,70,2023-04-21
CUST0027,East,63,2021-07-23
CUST0028,South,36,2020-01-14
CUST0029,West,2,2020-11-22
CUST0030,West,22,2022-05-15
CUST0031,East,96,2021-11-27
CUST0032,West,16,2021-07-23
CUST0033,West,18,2020-11-14
CUST0034,North,69,2021-03-16
CUST0035,East,54,2021-11-20
CUST0036,Central,100,2020-07-28
CUST0037,East,30,2020-07-08
CUST0038,Central,45,2022-02-17
CUST0039,North,19,2020-07-17
CUST0040,South,87,2022-01-05
CUST0041,West,34,2021-12-05
CUST0042,North,13,2023-05-21
CUST0043,West,43,2021-06-25
CUST0044,South,62,2020-03-29
CUST0045,South,93,2022-07-29
CUST0046,North,100,2023-01-03
CUST0047,South,22,2020-09-12
CUST0048,Central,52,2022-02-14
CUST0049,South,52,2020-06-10
CUST0050,West,36,2023-02-04
CUST0051,West,73,2021-08-23
CUST0052,West,19,2023-07-11
CUST0053,West,38,2023-06-20
CUST0054,Central,70,2022-01-10
CUST0055,East,79,2023-03-28
CUST0056,North,57,2021-01-28
CUST0057,West,20,2020-05-22
CUST0058,South,9,2020-04-03
CUST0059,West,32,2021-04-11
CUST0060,South,4,2021-08-15
CUST0061,South,50,2020-06-12
CUST0062,West,82,2021-04-21
CUST0063,Central,5,2020-07-25
CUST0064,South,20,2022-02-17
CUST0065,South,87,2021-07-23
CUST0066,West,75,2022-07-17
CUST0067,South,37,2022-01-17
CUST0068,South,22,2020-11-29
CUST0069,West,58,2022-01-28
CUST0070,West,68,2021-12-28
CUST0071,North,93,2021-03-05
CUST0072,Central,44,2021-06-30
CUST0073,Central,34,2020-05-26
CUST0074,South,77,2023-06-01
CUST0075,Central,42,2023-07-24
CUST0076,South,9,2020-12-16
CUST0077,North,95,2022-12-29
CUST0078,West,7,2021-05-16
CUST0079,West,68,2020-11-30
CUST0080,West,19,2022-08-04
CUST0081,Central,94,2022-02-16
CUST0082,North,31,2021-07-06
CUST0083,Central,35,2023-02-14
CUST0084,Central,57,2021-03-25
CUST0085,North,85,2021-10-26
CUST0086,North,61,2020-04-24
CUST0087,North,31,2021-04-14
CUST0088,North,83,2020-03-06
CUST0089,West,95,2021-10-08
CUST0090,East,53,2022-04-01
CUST0091,East,32,2021-07-02
CUST0092,North,66,2020-05-15
CUST0093,East,59,2021-03-08
CUST0094,East,10,2023-03-07
CUST0095,North,2,2021-10-06
CUST0096,East,66,2021-03-11
CUST0097,Central,60,2022-10-19
CUST0098,South,88,2022-03-21
CUST0099,South,17,2022-07-28
CUST0100,North,96,2020-10-19
CUST0101,West,16,2021-06-26
CUST0102,North,16,2020-10-12
CUST0103,West,46,2021-05-20
CUST0104,South,39,2023-02-23
CUST0105,North,31,2023-01-08
CUST0106,Central,88,2021-06-22
CUST0107,East,1,2023-04-12
CUST0108,West,11,2022-05-27
CUST0109,East,85,2023-04-10
CUST0110,East,4,2022-03-28
CUST0111,North,71,2022-01-11
CUST0112,East,26,2021-03-25
CUST0113,Central,50,2020-10-10
CUST0114,East,12,2022-11-09
CUST0115,North,95,2022-10-07
CUST0116,Central,81,2020-07-05
CUST0117,South,97,2020-04-06
CUST0118,East,75,2020-08-12
CUST0119,North,92,2020-11-09
CUST0120,South,96,2023-07-09
CUST0121,South,65,2020-11-23
CUST0122,West,47,2022-05-14
CUST0123,Central,92,2023-05-06
CUST0124,East,53,2020-05-10
CUST0125,North,71,2022-02-27
CUST0126,West,2,2022-02-20
CUST0127,Central,24,2023-05-05
CUST0128,West,4,2022-08-16
CUST0129,Central,19,2022-12-19
CUST0130,Central,26,2021-05-29
CUST0131,East,75,2023-02-07
CUST0132,Central,40,2020-01-24
CUST0133,West,50,2020-08-22
CUST0134,Central,43,2023-01-04
CUST0135,East,75,2021-06-30
CUST0136,East,67,2021-11-27
CUST0137,West,12,2020-08-16
CUST0138,South,67,2021-08-24
CUST0139,South,27,2022-06-09
CUST0140,Central,54,2020-11-19
CUST0141,North,66,2022-07-18
CUST0142,Central,49,2020-01-07
CUST0143,West,16,2021-06-23
CUST0144,West,2,2022-10-22
CUST0145,West,60,2020-12-31
CUST0146,West,54,2022-11-05
CUST0147,West,30,2020-08-05
CUST0148,East,84,2023-07-04
CUST0149,South,38,2021-09-03
CUST0150,West,28,2022-11-05
CUST0151,North,25,2023-06-01
CUST0152,North,96,2021-02-11
CUST0153,North,10,2020-11-09
CUST0154,North,60,2022-02-04
CUST0155,East,42,2020-11-26
CUST0156,North,40,2023-01-09
CUST0157,West,97,2022-12-22
CUST0158,Central,77,2020-01-02
CUST0159,North,42,2023-05-11
CUST0160,East,47,2021-10-25
CUST0161,East,37,2022-09-27
CUST0162,North,80,2020-02-09
CUST0163,Central,22,2020-08-17
CUST0164,North,57,2022-01-13
CUST0165,East,84,2021-09-21
CUST0166,South,27,2021-05-05
CUST0167,West,41,2020-04-28
CUST0168,East,80,2021-05-08
CUST0169,North,34,2023-03-07
CUST0170,West,32,2020-06-10
CUST0171,North,90,2020-06-24
CUST0172,North,89,2022-09-22
CUST0173,South,66,2020-05-21
CUST0174,West,12,2022-12-26
CUST0175,West,40,2020-09-14
CUST0176,South,73,2020-09-19
CUST0177,East,76,2022-08-31
CUST0178,North,90,2023-01-30
CUST0179,Central,73,2020-12-04
CUST0180,North,10,2021-06-26
CUST0181,North,96,2022-12-16
CUST0182,East,98,2023-05-27
CUST0183,North,48,2022-05-16
CUST0184,South,20,2021-03-09
CUST0185,South,39,2023-01-09
CUST0186,West,60,2021-02-15
CUST0187,Central,66,2021-09-30
CUST0188,North,65,2022-03-28
CUST0189,North,51,2022-02-03
CUST0190,East,36,2022-06-16
CUST0191,South,24,2022-11-25
CUST0192,Central,27,2022-07-13
CUST0193,West,2,2020-09-04
CUST0194,South,31,2021-05-22
CUST0195,West,57,2021-04-05
CUST0196,East,78,2020-05-11
CUST0197,East,66,2021-11-23
CUST0198,North,29,2020-02-13
CUST0199,Central,15,2023-04-19
CUST0200,West,12,2023-02-08
CUST0201,South,28,2021-04-16
CUST0202,East,84,2023-04-20
CUST0203,North,24,2021-03-27
CUST0204,North,21,2020-01-15
CUST0205,West,10,2020-05-25
CUST0206,East,78,2023-07-16
CUST0207,Central,18,2020-04-30
CUST0208,East,88,2021-04-13
CUST0209,West,14,2020-05-18
CUST0210,West,34,2020-03-05
CUST0211,East,58,2021-11-07
CUST0212,West,76,2020-05-25
CUST0213,East,22,2022-11-18
CUST0214,South,70,2021-05-02
CUST0215,East,36,2021-07-24
CUST0216,East,45,2022-09-21
CUST0217,West,36,2021-03-14
CUST0218,West,22,2023-01-09
CUST0219,North,78,2020-09-27
CUST0220,North,80,2023-03-15
CUST0221,South,61,2023-03-26
CUST0222,North,100,2022-08-26
CUST0223,East,56,2021-05-12
CUST0224,West,89,2022-08-26
CUST0225,North,96,2022-04-13
CUST0226,North,33,2021-01-24
CUST0227,South,45,2020-07-12
CUST0228,South,36,2020-07-17
CUST0229,East,20,2022-06-01
CUST0230,West,18,2021-12-26
CUST0231,South,38,2022-05-17
CUST0232,North,67,2022-04-21
CUST0233,West,23,2022-08-14
CUST0234,West,96,2020-04-20
CUST0235,North,16,2020-07-20
CUST0236,South,59,2020-05-04
CUST0237,North,69,2022-04-04
CUST0238,West,68,2021-11-25
CUST0239,Central,21,2020-08-11
CUST0240,Central,78,2021-05-24
CUST0241,East,95,2021-01-27
CUST0242,North,78,2021-01-24
CUST0243,North,70,2023-01-03
CUST0244,East,12,2022-07-07
CUST0245,East,16,2020-10-14
CUST0246,East,81,2022-05-14
CUST0247,West,87,2021-01-10
CUST0248,North,14,2021-07-24
CUST0249,West,61,2022-08-05
CUST0250,East,71,2021-05-26
CUST0251,North,46,2020-06-03
CUST0252,West,32,2022-06-26
CUST0253,West,15,2023-02-01
CUST0254,East,44,2020-07-19
CUST0255,North,17,2020-04-13
CUST0256,East,41,2023-01-12
CUST0257,North,54,2020-01-31
CUST0258,Central,44,2020-07-10
CUST0259,South,98,2021-04-29
CUST0260,South,5,2020-12-06
CUST0261,South,27,2022-04-12
CUST0262,East,87,2022-09-21
CUST0263,Central,78,2022-09-12
CUST0264,North,79,2021-03-13
CUST0265,West,43,2022-04-01
CUST0266,North,97,2020-04-30
CUST0267,West,31,2020-12-03
CUST0268,North,99,2022-02-15
CUST0269,Central,17,2020-01-05
CUST0270,West,92,2022-03-10
CUST0271,East,83,2021-06-27
CUST0272,North,54,2022-07-20
CUST0273,North,62,2021-08-07
