order_id,pickup_time,drop_time,actual_duration_minutes,is_late
ORD00001,2024-04-13 22:06:00,2024-04-13 22:21:51.000,15.85,0
ORD00002,2024-10-07 16:28:00,2024-10-07 16:40:27.600,12.46,0
ORD00003,2024-11-01 16:28:00,2024-11-01 16:41:16.200,13.27,0
ORD00004,2024-03-26 13:46:00,2024-03-26 14:02:37.800,16.63,0
ORD00005,2024-09-26 16:50:00,2024-09-26 17:05:06.600,15.11,0
ORD00006,2024-04-07 11:48:00,2024-04-07 12:02:03.000,14.05,0
ORD00007,2024-05-17 15:24:00,2024-05-17 15:32:00.000,8.0,0
ORD00008,2024-11-06 06:10:00,2024-11-06 06:22:51.600,12.86,0
ORD00009,2024-05-28 07:50:00,2024-05-28 08:00:39.000,10.65,0
ORD00010,2024-04-10 12:57:00,2024-04-10 13:12:07.800,15.13,0
ORD00011,2024-10-10 08:06:00,2024-10-10 08:21:58.200,15.97,0
ORD00012,2024-06-10 11:44:00,2024-06-10 11:56:05.400,12.09,0
ORD00013,2024-01-08 19:12:00,2024-01-08 19:23:00.000,11.0,0
ORD00014,2024-01-27 06:14:00,2024-01-27 06:31:40.200,17.67,0
ORD00015,2024-10-17 20:38:00,2024-10-17 20:49:11.400,11.19,0
ORD00016,2024-09-10 11:26:00,2024-09-10 11:35:25.200,9.42,0
ORD00017,2024-07-09 03:13:00,2024-07-09 03:23:30.000,10.5,0
ORD00018,2024-11-18 09:58:00,2024-11-18 10:09:20.400,11.34,0
ORD00019,2024-01-20 22:01:00,2024-01-20 22:11:25.200,10.42,0
ORD00020,2024-09-14 02:50:00,2024-09-14 03:05:32.400,15.54,0
ORD00021,2024-03-08 17:29:00,2024-03-08 17:37:00.000,8.0,0
ORD00022,2024-09-14 10:33:00,2024-09-14 10:43:21.000,10.35,0
ORD00023,2024-06-15 21:43:00,2024-06-15 21:55:51.600,12.86,0
ORD00024,2024-01-31 18:38:00,2024-01-31 18:51:37.800,13.63,0
ORD00025,2024-04-03 09:17:00,2024-04-03 09:35:04.800,18.08,1
ORD00026,2024-03-28 15:37:00,2024-03-28 15:54:38.400,17.64,0
ORD00027,2024-09-20 07:29:00,2024-09-20 07:37:12.000,8.2,0
ORD00028,2024-09-06 20:04:00,2024-09-06 20:12:00.000,8.0,0
ORD00029,2024-04-05 11:51:00,2024-04-05 12:04:04.200,13.07,0
ORD00030,2024-11-10 17:36:00,2024-11-10 17:46:58.800,10.98,0
ORD00031,2024-12-29 19:08:00,2024-12-29 19:17:25.200,9.42,0
ORD00032,2024-06-05 21:35:00,2024-06-05 21:48:03.000,13.05,0
ORD00033,2024-09-19 08:50:00,2024-09-19 09:03:41.400,13.69,0
ORD00034,2024-05-07 02:19:00,2024-05-07 02:29:28.800,10.48,0
ORD00035,2024-04-15 11:26:00,2024-04-15 11:37:07.800,11.13,0
ORD00036,2024-08-18 17:52:00,2024-08-18 18:02:42.600,10.71,0
ORD00037,2024-05-13 21:40:00,2024-05-13 21:51:46.200,11.77,0
ORD00038,2024-10-16 02:54:00,2024-10-16 03:08:37.200,14.62,0
ORD00039,2024-10-16 02:19:00,2024-10-16 02:28:46.200,9.77,0
ORD00040,2024-10-10 21:05:00,2024-10-10 21:16:04.800,11.08,0
ORD00041,2024-05-04 05:37:00,2024-05-04 05:48:48.000,11.8,0
ORD00042,2024-05-08 21:58:00,2024-05-08 22:10:58.800,12.98,0
ORD00043,2024-06-14 09:23:00,2024-06-14 09:36:49.800,13.83,0
ORD00044,2024-04-09 06:03:00,2024-04-09 06:22:07.800,19.13,1
ORD00045,2024-08-01 07:13:00,2024-08-01 07:27:43.200,14.72,0
ORD00046,2024-11-14 07:01:00,2024-11-14 07:15:47.400,14.79,0
ORD00047,2024-11-03 11:12:00,2024-11-03 11:24:12.000,12.2,0
ORD00048,2024-11-27 13:43:00,2024-11-27 13:53:03.600,10.06,0
ORD00049,2024-01-17 02:47:00,2024-01-17 02:58:25.200,11.42,0
ORD00050,2024-04-19 17:25:00,2024-04-19 17:35:52.200,10.87,0
ORD00051,2024-01-24 02:40:00,2024-01-24 02:54:10.800,14.18,0
ORD00052,2024-12-08 08:26:00,2024-12-08 08:34:03.000,8.05,0
