order_id,product_id,quantity
ORD00001,PROD0085,5
ORD00001,PROD0034,2
ORD00001,PROD0093,3
ORD00001,PROD0059,5
ORD00001,PROD0076,1
ORD00002,PROD0026,5
ORD00003,PROD0023,4
ORD00004,PROD0078,5
ORD00004,PROD0001,4
ORD00005,PROD0030,4
ORD00005,PROD0099,4
ORD00005,PROD0045,5
ORD00005,PROD0095,5
ORD00006,PROD0011,3
ORD00006,PROD0077,5
ORD00007,PROD0067,1
ORD00007,PROD0067,1
ORD00007,PROD0049,2
ORD00007,PROD0089,3
ORD00007,PROD0053,3
ORD00008,PROD0069,4
ORD00008,PROD0073,3
ORD00008,PROD0079,3
ORD00009,PROD0062,2
ORD00009,PROD0048,5
ORD00009,PROD0072,4
ORD00009,PROD0033,3
ORD00009,PROD0074,3
ORD00010,PROD0090,2
ORD00010,PROD0013,2
ORD00010,PROD0066,4
ORD00010,PROD0044,5
ORD00011,PROD0061,5
ORD00011,PROD0056,1
ORD00012,PROD0005,4
ORD00012,PROD0052,5
ORD00012,PROD0084,5
ORD00012,PROD0037,5
ORD00012,PROD0008,2
ORD00013,PROD0025,1
ORD00013,PROD0077,5
ORD00013,PROD0067,2
ORD00014,PROD0021,1
ORD00015,PROD0076,2
ORD00015,PROD0067,1
ORD00015,PROD0095,1
ORD00015,PROD0012,5
ORD00016,PROD0078,2
ORD00016,PROD0059,4
ORD00017,PROD0014,5
ORD00017,PROD0010,5
ORD00017,PROD0038,3
ORD00017,PROD0015,5
ORD00017,PROD0033,5
ORD00018,PROD0099,2
ORD00018,PROD0097,3
ORD00018,PROD0100,4
ORD00018,PROD0088,4
ORD00019,PROD0009,4
ORD00019,PROD0082,2
ORD00019,PROD0087,2
ORD00020,PROD0090,3
ORD00021,PROD0071,2
ORD00022,PROD0024,2
ORD00022,PROD0064,2
ORD00022,PROD0031,2
ORD00023,PROD0046,2
ORD00023,PROD0100,1
ORD00023,PROD0016,1
ORD00023,PROD0087,4
ORD00023,PROD0079,1
ORD00024,PROD0041,4
ORD00024,PROD0074,3
ORD00024,PROD0063,2
